,datum,uhrzeit,wett,runde,tag,spielort,ergebnis,tf,tk,gegner,xg,xga,besitz,zuschauerzahl,kapitän,aufstellung,schiedsrichter,spielbericht,hinweise,sc,sat,entf.,fs,elf,veelf,saison,verein
19,27.01.2024,15:30,Bundesliga,Spielwoche 19,Sa.,Heim,N,2.0,3.0,Bayern München,2.6,2.3,42.0,30.66,Ermedin Demirović,4-3-1-2,Christian Dingert,Spielbericht,,13.0,5.0,184.0,1.0,1.0,2.0,2024,Augsburg
20,03.02.2024,15:30,Bundesliga,Spielwoche 20,Sa.,Auswärts,U,1.0,1.0,Bochum,1.6,0.9,51.0,24.5,Ermedin Demirović,4-1-2-1-2◆,Patrick Ittrich,Spielbericht,,13.0,2.0,167.0,0.0,1.0,1.0,2024,Augsburg
21,10.02.2024,15:30,Bundesliga,Spielwoche 21,Sa.,Heim,U,2.0,2.0,RB Leipzig,0.7,1.3,42.0,28.51,Ermedin Demirović,4-3-1-2,Benjamin Brand,Spielbericht,,11.0,4.0,163.0,0.0,0.0,0.0,2024,Augsburg
22,17.02.2024,15:30,Bundesliga,Spielwoche 22,Sa.,Auswärts,N,0.0,1.0,Mainz 05,1.0,2.1,54.0,24.8,Jeffrey Gouweleeuw,4-1-2-1-2◆,Tobias Reichel,Spielbericht,,10.0,3.0,155.0,0.0,0.0,0.0,2024,Augsburg
23,25.02.2024,19:30,Bundesliga,Spielwoche 23,So.,Heim,S,2.0,1.0,Freiburg,1.6,1.6,63.0,28.894,Ermedin Demirović,4-1-2-1-2◆,Bastian Dankert,Spielbericht,,19.0,8.0,156.0,1.0,0.0,0.0,2024,Augsburg
24,02.03.2024,15:30,Bundesliga,Spielwoche 24,Sa.,Auswärts,S,6.0,0.0,Darmstadt 98,2.9,0.8,54.0,17.81,Ermedin Demirović,4-3-1-2,Felix Zwayer,Spielbericht,,22.0,7.0,168.0,0.0,0.0,0.0,2024,Augsburg
25,09.03.2024,15:30,Bundesliga,Spielwoche 25,Sa.,Heim,S,1.0,0.0,Heidenheim,0.5,0.4,58.0,30.66,Ermedin Demirović,4-1-2-1-2◆,Frank Willenborg,Spielbericht,,7.0,3.0,167.0,1.0,0.0,0.0,2024,Augsburg
26,16.03.2024,15:30,Bundesliga,Spielwoche 26,Sa.,Auswärts,S,3.0,1.0,Wolfsburg,0.7,1.3,50.0,21.735,Ermedin Demirović,4-1-2-1-2◆,Timo Gerach,Spielbericht,,15.0,5.0,279.0,1.0,0.0,0.0,2024,Augsburg
27,31.03.2024,15:30,Bundesliga,Spielwoche 27,So.,Heim,U,1.0,1.0,Köln,2.2,1.3,57.0,37.66,Elvis Rexhbeçaj,4-1-2-1-2◆,Sören Storks,Spielbericht,,25.0,5.0,162.0,1.0,0.0,0.0,2024,Augsburg
28,07.04.2024,15:30,Bundesliga,Spielwoche 28,So.,Auswärts,N,1.0,3.0,Hoffenheim,1.2,1.8,46.0,28.881,Ermedin Demirović,5-3-2,Florian Exner,Spielbericht,,15.0,6.0,189.0,0.0,0.0,0.0,2024,Augsburg
29,12.04.2024,20:30,Bundesliga,Spielwoche 29,Fr.,Heim,S,2.0,0.0,Union Berlin,1.6,1.6,47.0,29.731,Ermedin Demirović,4-1-2-1-2◆,Tobias Stieler,Spielbericht,,10.0,4.0,171.0,0.0,0.0,0.0,2024,Augsburg
30,19.04.2024,20:30,Bundesliga,Spielwoche 30,Fr.,Auswärts,N,1.0,3.0,Eint Frankfurt,0.5,1.8,37.0,57.6,Ermedin Demirović,4-1-2-1-2◆,Martin Petersen,Spielbericht,,6.0,1.0,190.0,0.0,0.0,0.0,2024,Augsburg
31,27.04.2024,15:30,Bundesliga,Spielwoche 31,Sa.,Heim,,,,Werder Bremen,,,,,,,,Direkter Vergleich,,,,,,,,2024,Augsburg
32,04.05.2024,15:30,Bundesliga,Spielwoche 32,Sa.,Auswärts,,,,Dortmund,,,,,,,,Direkter Vergleich,,,,,,,,2024,Augsburg
33,10.05.2024,20:30,Bundesliga,Spielwoche 33,Fr.,Heim,,,,Stuttgart,,,,,,,,Direkter Vergleich,,,,,,,,2024,Augsburg
34,18.05.2024,15:30,Bundesliga,Spielwoche 34,Sa.,Auswärts,,,,Leverkusen,,,,,,,,Direkter Vergleich,,,,,,,,2024,Augsburg
1,19.08.2023,15:30,Bundesliga,Spielwoche 1,Sa.,Heim,N,1.0,2.0,Freiburg,1.4,2.6,50.0,25.89,Oliver Baumann,3-5-2,Sven Jablonski,Spielbericht,,22.0,4.0,176.0,0.0,0.0,0.0,2024,Hoffenheim
2,26.08.2023,15:30,Bundesliga,Spielwoche 2,Sa.,Auswärts,S,3.0,2.0,Heidenheim,3.0,2.4,62.0,15.0,Oliver Baumann,3-4-3,Robert Hartmann,Spielbericht,,15.0,5.0,188.0,2.0,1.0,1.0,2024,Hoffenheim
3,02.09.2023,15:30,Bundesliga,Spielwoche 3,Sa.,Heim,S,3.0,1.0,Wolfsburg,2.0,1.2,40.0,17.5,Oliver Baumann,3-5-2,Felix Zwayer,Spielbericht,,10.0,5.0,169.0,1.0,0.0,0.0,2024,Hoffenheim
4,16.09.2023,15:30,Bundesliga,Spielwoche 4,Sa.,Auswärts,S,3.0,1.0,Köln,1.0,1.0,44.0,49.3,Oliver Baumann,3-5-2,Daniel Siebert,Spielbericht,,13.0,5.0,206.0,2.0,0.0,0.0,2024,Hoffenheim
5,23.09.2023,15:30,Bundesliga,Spielwoche 5,Sa.,Auswärts,S,2.0,0.0,Union Berlin,2.0,1.6,43.0,20.0,Oliver Baumann,3-5-2,Deniz Aytekin,Spielbericht,,10.0,2.0,191.0,2.0,1.0,1.0,2024,Hoffenheim
6,29.09.2023,20:30,Bundesliga,Spielwoche 6,Fr.,Heim,N,1.0,3.0,Dortmund,1.9,1.6,53.0,30.15,Oliver Baumann,3-5-2,Florian Badstübner,Spielbericht,,14.0,2.0,187.0,2.0,1.0,1.0,2024,Hoffenheim
7,07.10.2023,18:30,Bundesliga,Spielwoche 7,Sa.,Auswärts,S,3.0,2.0,Werder Bremen,1.9,0.8,52.0,41.0,Oliver Baumann,3-5-2,Christian Dingert,Spielbericht,,10.0,4.0,172.0,0.0,0.0,0.0,2024,Hoffenheim
8,21.10.2023,15:30,Bundesliga,Spielwoche 8,Sa.,Heim,N,1.0,3.0,Eint Frankfurt,1.4,2.4,54.0,30.15,Oliver Baumann,3-5-2,Matthias Jöllenbeck,Spielbericht,,14.0,4.0,153.0,1.0,0.0,0.0,2024,Hoffenheim
9,28.10.2023,15:30,Bundesliga,Spielwoche 9,Sa.,Auswärts,S,3.0,2.0,Stuttgart,1.7,3.6,27.0,53.2,Oliver Baumann,3-1-4-2,Felix Zwayer,Spielbericht,,6.0,4.0,200.0,0.0,1.0,1.0,2024,Hoffenheim
11,04.11.2023,15:30,Bundesliga,Spielwoche 10,Sa.,Heim,N,2.0,3.0,Leverkusen,1.7,1.0,47.0,30.15,Oliver Baumann,3-5-2,Frank Willenborg,Spielbericht,,12.0,7.0,208.0,0.0,0.0,0.0,2024,Hoffenheim
12,11.11.2023,15:30,Bundesliga,Spielwoche 11,Sa.,Auswärts,U,1.0,1.0,Augsburg,0.8,1.0,66.0,28.26,Oliver Baumann,3-1-4-2,Felix Brych,Spielbericht,,12.0,6.0,170.0,0.0,0.0,0.0,2024,Hoffenheim
13,26.11.2023,17:30,Bundesliga,Spielwoche 12,So.,Heim,U,1.0,1.0,Mainz 05,1.2,1.8,53.0,22.0,Oliver Baumann,3-1-4-2,Deniz Aytekin,Spielbericht,,15.0,4.0,177.0,0.0,0.0,0.0,2024,Hoffenheim
14,02.12.2023,15:30,Bundesliga,Spielwoche 13,Sa.,Auswärts,N,1.0,2.0,M'Gladbach,1.4,1.6,51.0,49.341,Oliver Baumann,3-1-4-2,Tobias Reichel,Spielbericht,,19.0,5.0,180.0,0.0,0.0,0.0,2024,Hoffenheim
15,08.12.2023,20:30,Bundesliga,Spielwoche 14,Fr.,Heim,S,3.0,1.0,Bochum,1.5,1.5,42.0,16.023,Oliver Baumann,4-1-2-1-2◆,Matthias Jöllenbeck,Spielbericht,,17.0,7.0,187.0,0.0,0.0,0.0,2024,Hoffenheim
16,16.12.2023,18:30,Bundesliga,Spielwoche 15,Sa.,Auswärts,N,1.0,3.0,RB Leipzig,0.8,2.8,43.0,42.946,Oliver Baumann,3-4-1-2,Robert Schröder,Spielbericht,,9.0,4.0,125.0,1.0,0.0,0.0,2024,Hoffenheim
17,19.12.2023,20:30,Bundesliga,Spielwoche 16,Di.,Heim,U,3.0,3.0,Darmstadt 98,3.5,0.8,45.0,18.125,Oliver Baumann,3-1-4-2,Frank Willenborg,Spielbericht,,13.0,3.0,141.0,1.0,1.0,1.0,2024,Hoffenheim
18,12.01.2024,20:30,Bundesliga,Spielwoche 17,Fr.,Auswärts,N,0.0,3.0,Bayern München,1.2,2.8,39.0,75.0,Oliver Baumann,3-1-4-2,Benjamin Brand,Spielbericht,,11.0,4.0,182.0,0.0,0.0,0.0,2024,Hoffenheim
19,20.01.2024,15:30,Bundesliga,Spielwoche 18,Sa.,Auswärts,N,2.0,3.0,Freiburg,1.4,2.7,56.0,33.6,Oliver Baumann,3-1-4-2,Sascha Stegemann,Spielbericht,,16.0,4.0,182.0,0.0,0.0,0.0,2024,Hoffenheim
20,27.01.2024,15:30,Bundesliga,Spielwoche 19,Sa.,Heim,U,1.0,1.0,Heidenheim,2.8,1.1,67.0,20.12,Oliver Baumann,4-3-1-2,Tobias Welz,Spielbericht,,22.0,6.0,171.0,0.0,1.0,1.0,2024,Hoffenheim
21,04.02.2024,15:30,Bundesliga,Spielwoche 20,So.,Auswärts,U,2.0,2.0,Wolfsburg,1.7,1.7,55.0,22.917,Oliver Baumann,4-1-2-1-2◆,Florian Badstübner,Spielbericht,,17.0,7.0,183.0,1.0,0.0,0.0,2024,Hoffenheim
22,11.02.2024,17:30,Bundesliga,Spielwoche 21,So.,Heim,U,1.0,1.0,Köln,1.2,0.1,57.0,23.02,Oliver Baumann,3-4-3,Christian Dingert,Spielbericht,,10.0,3.0,146.0,0.0,0.0,0.0,2024,Hoffenheim
23,17.02.2024,15:30,Bundesliga,Spielwoche 22,Sa.,Heim,N,0.0,1.0,Union Berlin,1.0,1.4,66.0,19.05,Oliver Baumann,4-1-2-1-2◆,Robert Hartmann,Spielbericht,,18.0,4.0,195.0,0.0,0.0,0.0,2024,Hoffenheim
24,25.02.2024,17:30,Bundesliga,Spielwoche 23,So.,Auswärts,S,3.0,2.0,Dortmund,1.3,1.9,31.0,81.365,Oliver Baumann,3-4-1-2,Marco Fritz,Spielbericht,,9.0,5.0,166.0,1.0,0.0,0.0,2024,Hoffenheim
25,03.03.2024,17:30,Bundesliga,Spielwoche 24,So.,Heim,S,2.0,1.0,Werder Bremen,1.7,1.3,47.0,25.0,Oliver Baumann,3-4-3,Matthias Jöllenbeck,Spielbericht,,14.0,7.0,182.0,0.0,0.0,0.0,2024,Hoffenheim
26,10.03.2024,17:30,Bundesliga,Spielwoche 25,So.,Auswärts,N,1.0,3.0,Eint Frankfurt,0.6,2.4,36.0,57.0,Oliver Baumann,3-4-1-2,Bastian Dankert,Spielbericht,,6.0,2.0,159.0,0.0,0.0,0.0,2024,Hoffenheim
27,16.03.2024,18:30,Bundesliga,Spielwoche 26,Sa.,Heim,N,0.0,3.0,Stuttgart,0.5,3.7,43.0,30.15,Oliver Baumann,3-4-3,Sascha Stegemann,Spielbericht,,7.0,1.0,213.0,0.0,0.0,0.0,2024,Hoffenheim
28,30.03.2024,15:30,Bundesliga,Spielwoche 27,Sa.,Auswärts,N,1.0,2.0,Leverkusen,0.8,3.1,33.0,30.21,Oliver Baumann,5-3-2,Deniz Aytekin,Spielbericht,,6.0,2.0,214.0,0.0,0.0,0.0,2024,Hoffenheim
29,07.04.2024,15:30,Bundesliga,Spielwoche 28,So.,Heim,S,3.0,1.0,Augsburg,1.8,1.2,54.0,28.881,Oliver Baumann,3-4-1-2,Florian Exner,Spielbericht,,18.0,6.0,174.0,0.0,0.0,0.0,2024,Hoffenheim
30,13.04.2024,15:30,Bundesliga,Spielwoche 29,Sa.,Auswärts,N,1.0,4.0,Mainz 05,0.5,2.1,53.0,31.0,Oliver Baumann,3-5-2,Felix Zwayer,Spielbericht,,5.0,1.0,205.0,0.0,0.0,0.0,2024,Hoffenheim
31,20.04.2024,15:30,Bundesliga,Spielwoche 30,Sa.,Heim,S,4.0,3.0,M'Gladbach,2.3,1.0,59.0,26.078,Oliver Baumann,3-5-2,Sören Storks,Spielbericht,,28.0,9.0,192.0,2.0,0.0,0.0,2024,Hoffenheim
32,26.04.2024,20:30,Bundesliga,Spielwoche 31,Fr.,Auswärts,,,,Bochum,,,,,,,,Direkter Vergleich,,,,,,,,2024,Hoffenheim
33,03.05.2024,20:30,Bundesliga,Spielwoche 32,Fr.,Heim,,,,RB Leipzig,,,,,,,,Direkter Vergleich,,,,,,,,2024,Hoffenheim
34,12.05.2024,15:30,Bundesliga,Spielwoche 33,So.,Auswärts,,,,Darmstadt 98,,,,,,,,Direkter Vergleich,,,,,,,,2024,Hoffenheim
35,18.05.2024,15:30,Bundesliga,Spielwoche 34,Sa.,Heim,,,,Bayern München,,,,,,,,Direkter Vergleich,,,,,,,,2024,Hoffenheim
1,19.08.2023,15:30,Bundesliga,Spielwoche 1,Sa.,Auswärts,N,0.0,2.0,Wolfsburg,1.2,2.2,52.0,22.62,Patrick Mainka,4-1-3-2,Florian Badstübner,Spielbericht,,14.0,1.0,163.0,0.0,0.0,0.0,2024,Heidenheim
2,26.08.2023,15:30,Bundesliga,Spielwoche 2,Sa.,Heim,N,2.0,3.0,Hoffenheim,2.4,3.0,38.0,15.0,Patrick Mainka,4-4-2,Robert Hartmann,Spielbericht,,19.0,7.0,182.0,1.0,0.0,1.0,2024,Heidenheim
3,01.09.2023,20:30,Bundesliga,Spielwoche 3,Fr.,Auswärts,U,2.0,2.0,Dortmund,2.1,3.4,38.0,81.365,Patrick Mainka,4-2-3-1,Tobias Reichel,Spielbericht,,13.0,5.0,196.0,1.0,1.0,1.0,2024,Heidenheim
4,17.09.2023,15:30,Bundesliga,Spielwoche 4,So.,Heim,S,4.0,2.0,Werder Bremen,2.2,3.0,41.0,15.0,Patrick Mainka,4-2-3-1,Patrick Ittrich,Spielbericht,,17.0,4.0,182.0,1.0,1.0,1.0,2024,Heidenheim
5,24.09.2023,15:30,Bundesliga,Spielwoche 5,So.,Auswärts,N,1.0,4.0,Leverkusen,0.5,3.4,29.0,29.557,Patrick Mainka,4-2-3-1,Christian Dingert,Spielbericht,,2.0,2.0,138.0,0.0,0.0,0.0,2024,Heidenheim
6,30.09.2023,15:30,Bundesliga,Spielwoche 6,Sa.,Heim,S,1.0,0.0,Union Berlin,0.8,2.2,50.0,15.0,Patrick Mainka,4-2-3-1,Sascha Stegemann,Spielbericht,,10.0,4.0,206.0,1.0,0.0,0.0,2024,Heidenheim
7,08.10.2023,19:30,Bundesliga,Spielwoche 7,So.,Auswärts,N,0.0,2.0,Eint Frankfurt,1.2,1.9,51.0,55.8,Patrick Mainka,4-2-3-1,Daniel Schlager,Spielbericht,,7.0,2.0,179.0,0.0,0.0,0.0,2024,Heidenheim
8,22.10.2023,17:30,Bundesliga,Spielwoche 8,So.,Heim,N,2.0,5.0,Augsburg,1.5,2.5,59.0,15.0,Patrick Mainka,4-1-4-1,Tobias Stieler,Spielbericht,,15.0,5.0,143.0,0.0,0.0,0.0,2024,Heidenheim
9,28.10.2023,15:30,Bundesliga,Spielwoche 9,Sa.,Auswärts,N,1.0,2.0,M'Gladbach,0.4,1.0,47.0,51.541,Patrick Mainka,4-2-3-1,Robert Hartmann,Spielbericht,,9.0,4.0,180.0,0.0,0.0,0.0,2024,Heidenheim
11,05.11.2023,17:30,Bundesliga,Spielwoche 10,So.,Heim,S,2.0,0.0,Stuttgart,1.2,2.6,32.0,15.0,Patrick Mainka,4-2-3-1,Florian Badstübner,Spielbericht,,19.0,3.0,190.0,1.0,0.0,0.0,2024,Heidenheim
12,11.11.2023,15:30,Bundesliga,Spielwoche 11,Sa.,Auswärts,N,2.0,4.0,Bayern München,0.9,2.0,28.0,75.0,Patrick Mainka,4-1-4-1,Harm Osmers,Spielbericht,,8.0,2.0,123.0,0.0,0.0,0.0,2024,Heidenheim
13,26.11.2023,15:30,Bundesliga,Spielwoche 12,So.,Heim,U,0.0,0.0,Bochum,0.8,0.4,49.0,15.0,Patrick Mainka,4-1-4-1,Felix Zwayer,Spielbericht,,9.0,3.0,176.0,0.0,0.0,0.0,2024,Heidenheim
14,02.12.2023,15:30,Bundesliga,Spielwoche 13,Sa.,Auswärts,N,1.0,2.0,RB Leipzig,1.0,4.0,30.0,44.887,Patrick Mainka,5-4-1,Christian Dingert,Spielbericht,,7.0,1.0,179.0,0.0,0.0,0.0,2024,Heidenheim
15,09.12.2023,15:30,Bundesliga,Spielwoche 14,Sa.,Heim,S,3.0,2.0,Darmstadt 98,1.4,0.9,44.0,15.0,Patrick Mainka,4-2-2-2,Daniel Schlager,Spielbericht,,16.0,7.0,170.0,1.0,0.0,0.0,2024,Heidenheim
16,16.12.2023,15:30,Bundesliga,Spielwoche 15,Sa.,Auswärts,S,1.0,0.0,Mainz 05,0.5,1.6,35.0,27.2,Patrick Mainka,4-5-1,Bastian Dankert,Spielbericht,,6.0,2.0,184.0,0.0,0.0,0.0,2024,Heidenheim
17,20.12.2023,20:30,Bundesliga,Spielwoche 16,Mi.,Heim,S,3.0,2.0,Freiburg,1.9,1.8,53.0,15.0,Patrick Mainka,4-4-2,Benjamin Brand,Spielbericht,,15.0,3.0,145.0,1.0,0.0,0.0,2024,Heidenheim
18,13.01.2024,15:30,Bundesliga,Spielwoche 17,Sa.,Auswärts,U,1.0,1.0,Köln,0.9,0.9,49.0,50.0,Patrick Mainka,4-4-2,Felix Zwayer,Spielbericht,,9.0,2.0,162.0,1.0,0.0,0.0,2024,Heidenheim
19,20.01.2024,15:30,Bundesliga,Spielwoche 18,Sa.,Heim,U,1.0,1.0,Wolfsburg,1.1,1.1,53.0,15.0,Patrick Mainka,4-1-4-1,Timo Gerach,Spielbericht,,12.0,3.0,152.0,1.0,0.0,0.0,2024,Heidenheim
20,27.01.2024,15:30,Bundesliga,Spielwoche 19,Sa.,Auswärts,U,1.0,1.0,Hoffenheim,1.1,2.8,33.0,20.12,Patrick Mainka,4-2-3-1,Tobias Welz,Spielbericht,,14.0,3.0,214.0,0.0,0.0,0.0,2024,Heidenheim
21,02.02.2024,20:30,Bundesliga,Spielwoche 20,Fr.,Heim,U,0.0,0.0,Dortmund,1.2,0.6,31.0,15.0,Patrick Mainka,4-2-3-1,Bastian Dankert,Spielbericht,,12.0,0.0,145.0,0.0,0.0,0.0,2024,Heidenheim
22,10.02.2024,15:30,Bundesliga,Spielwoche 21,Sa.,Auswärts,S,2.0,1.0,Werder Bremen,1.8,1.7,35.0,41.0,Patrick Mainka,4-2-3-1,Robert Schröder,Spielbericht,,11.0,3.0,134.0,0.0,0.0,0.0,2024,Heidenheim
23,17.02.2024,15:30,Bundesliga,Spielwoche 22,Sa.,Heim,N,1.0,2.0,Leverkusen,0.4,1.9,39.0,15.0,Patrick Mainka,4-2-3-1,Harm Osmers,Spielbericht,,6.0,3.0,205.0,0.0,0.0,0.0,2024,Heidenheim
24,24.02.2024,15:30,Bundesliga,Spielwoche 23,Sa.,Auswärts,U,2.0,2.0,Union Berlin,1.1,1.1,42.0,21.341,Patrick Mainka,4-5-1,Deniz Aytekin,Spielbericht,,10.0,4.0,202.0,0.0,0.0,0.0,2024,Heidenheim
25,02.03.2024,15:30,Bundesliga,Spielwoche 24,Sa.,Heim,N,1.0,2.0,Eint Frankfurt,1.0,1.2,58.0,15.0,Patrick Mainka,4-2-3-1,Sören Storks,Spielbericht,,15.0,3.0,157.0,0.0,0.0,0.0,2024,Heidenheim
26,09.03.2024,15:30,Bundesliga,Spielwoche 25,Sa.,Auswärts,N,0.0,1.0,Augsburg,0.4,0.5,42.0,30.66,Patrick Mainka,4-1-3-2,Frank Willenborg,Spielbericht,,6.0,1.0,189.0,0.0,0.0,0.0,2024,Heidenheim
27,16.03.2024,15:30,Bundesliga,Spielwoche 26,Sa.,Heim,U,1.0,1.0,M'Gladbach,1.1,0.5,53.0,15.0,Patrick Mainka,4-2-3-1,Martin Petersen,Spielbericht,,19.0,3.0,137.0,0.0,0.0,0.0,2024,Heidenheim
28,31.03.2024,17:30,Bundesliga,Spielwoche 27,So.,Auswärts,U,3.0,3.0,Stuttgart,1.3,3.0,28.0,60.0,Patrick Mainka,4-2-3-1,Felix Zwayer,Spielbericht,,6.0,3.0,95.0,0.0,0.0,0.0,2024,Heidenheim
29,06.04.2024,15:30,Bundesliga,Spielwoche 28,Sa.,Heim,S,3.0,2.0,Bayern München,1.4,1.9,33.0,15.0,Patrick Mainka,4-2-3-1,Robert Schröder,Spielbericht,,9.0,4.0,159.0,1.0,0.0,0.0,2024,Heidenheim
30,13.04.2024,15:30,Bundesliga,Spielwoche 29,Sa.,Auswärts,U,1.0,1.0,Bochum,1.1,1.2,39.0,24.414,Patrick Mainka,4-2-3-1,Patrick Ittrich,Spielbericht,,11.0,3.0,182.0,0.0,0.0,0.0,2024,Heidenheim
31,20.04.2024,15:30,Bundesliga,Spielwoche 30,Sa.,Heim,N,1.0,2.0,RB Leipzig,1.0,1.8,39.0,15.0,Patrick Mainka,4-1-4-1,Tobias Welz,Spielbericht,,10.0,4.0,149.0,1.0,0.0,0.0,2024,Heidenheim
32,28.04.2024,19:30,Bundesliga,Spielwoche 31,So.,Auswärts,,,,Darmstadt 98,,,,,,,,Direkter Vergleich,,,,,,,,2024,Heidenheim
33,05.05.2024,19:30,Bundesliga,Spielwoche 32,So.,Heim,,,,Mainz 05,,,,,,,,Direkter Vergleich,,,,,,,,2024,Heidenheim
34,11.05.2024,15:30,Bundesliga,Spielwoche 33,Sa.,Auswärts,,,,Freiburg,,,,,,,,Direkter Vergleich,,,,,,,,2024,Heidenheim
35,18.05.2024,15:30,Bundesliga,Spielwoche 34,Sa.,Heim,,,,Köln,,,,,,,,Direkter Vergleich,,,,,,,,2024,Heidenheim
1,18.08.2023,20:30,Bundesliga,Spielwoche 1,Fr.,Heim,N,0.0,4.0,Bayern München,0.6,2.8,28.0,42.1,Marco Friedl,3-1-4-2,Felix Zwayer,Spielbericht,,6.0,1.0,207.0,1.0,0.0,0.0,2024,Werder Bremen
2,26.08.2023,15:30,Bundesliga,Spielwoche 2,Sa.,Auswärts,N,0.0,1.0,Freiburg,1.0,2.4,51.0,34.7,Marco Friedl,3-1-4-2,Benjamin Brand,Spielbericht,,15.0,1.0,198.0,1.0,0.0,0.0,2024,Werder Bremen
3,02.09.2023,15:30,Bundesliga,Spielwoche 3,Sa.,Heim,S,4.0,0.0,Mainz 05,2.7,0.5,45.0,41.0,Marco Friedl,3-5-2,Robert Schröder,Spielbericht,,12.0,5.0,147.0,0.0,1.0,1.0,2024,Werder Bremen
4,17.09.2023,15:30,Bundesliga,Spielwoche 4,So.,Auswärts,N,2.0,4.0,Heidenheim,3.0,2.2,59.0,15.0,Marco Friedl,3-5-2,Patrick Ittrich,Spielbericht,,10.0,3.0,159.0,0.0,0.0,1.0,2024,Werder Bremen
5,23.09.2023,18:30,Bundesliga,Spielwoche 5,Sa.,Heim,S,2.0,1.0,Köln,2.1,1.3,47.0,42.1,Niklas Stark,3-1-4-2,Bastian Dankert,Spielbericht,,17.0,6.0,172.0,0.0,0.0,0.0,2024,Werder Bremen
6,01.10.2023,15:30,Bundesliga,Spielwoche 6,So.,Auswärts,N,2.0,4.0,Darmstadt 98,1.5,2.4,57.0,17.81,Christian Groß,3-5-2,Martin Petersen,Spielbericht,,11.0,6.0,162.0,2.0,0.0,0.0,2024,Werder Bremen
7,07.10.2023,18:30,Bundesliga,Spielwoche 7,Sa.,Heim,N,2.0,3.0,Hoffenheim,0.8,1.9,48.0,41.0,Marco Friedl,3-1-4-2,Christian Dingert,Spielbericht,,13.0,3.0,210.0,0.0,0.0,0.0,2024,Werder Bremen
8,20.10.2023,20:30,Bundesliga,Spielwoche 8,Fr.,Auswärts,N,0.0,1.0,Dortmund,0.4,2.6,43.0,81.365,Marco Friedl,3-5-2,Felix Brych,Spielbericht,,5.0,1.0,148.0,0.0,0.0,0.0,2024,Werder Bremen
9,28.10.2023,15:30,Bundesliga,Spielwoche 9,Sa.,Heim,S,2.0,0.0,Union Berlin,0.8,0.6,56.0,42.1,Marco Friedl,3-5-2,Tobias Stieler,Spielbericht,,10.0,4.0,202.0,0.0,0.0,0.0,2024,Werder Bremen
10,05.11.2023,15:30,Bundesliga,Spielwoche 10,So.,Auswärts,U,2.0,2.0,Wolfsburg,1.2,1.6,44.0,28.917,Marco Friedl,3-5-2,Tobias Reichel,Spielbericht,,13.0,4.0,140.0,1.0,0.0,0.0,2024,Werder Bremen
11,12.11.2023,17:30,Bundesliga,Spielwoche 11,So.,Heim,U,2.0,2.0,Eint Frankfurt,1.5,2.0,49.0,42.1,Marco Friedl,3-5-2,Benjamin Brand,Spielbericht,,12.0,4.0,218.0,1.0,1.0,1.0,2024,Werder Bremen
12,25.11.2023,15:30,Bundesliga,Spielwoche 12,Sa.,Heim,N,0.0,3.0,Leverkusen,0.2,1.0,41.0,42.1,Marco Friedl,3-5-2,Martin Petersen,Spielbericht,,2.0,1.0,121.0,0.0,0.0,0.0,2024,Werder Bremen
13,02.12.2023,18:30,Bundesliga,Spielwoche 13,Sa.,Auswärts,N,0.0,2.0,Stuttgart,0.8,3.5,42.0,54.5,Marco Friedl,3-5-2,Bastian Dankert,Spielbericht,,12.0,3.0,152.0,0.0,0.0,0.0,2024,Werder Bremen
14,09.12.2023,15:30,Bundesliga,Spielwoche 14,Sa.,Heim,S,2.0,0.0,Augsburg,1.5,0.7,48.0,41.0,Leonardo Bittencourt,3-5-2,Sascha Stegemann,Spielbericht,,14.0,5.0,179.0,0.0,0.0,0.0,2024,Werder Bremen
15,15.12.2023,20:30,Bundesliga,Spielwoche 15,Fr.,Auswärts,U,2.0,2.0,M'Gladbach,1.6,1.4,50.0,50.66,Leonardo Bittencourt,3-4-3,Felix Zwayer,Spielbericht,,12.0,5.0,145.0,0.0,0.0,0.0,2024,Werder Bremen
16,19.12.2023,18:30,Bundesliga,Spielwoche 16,Di.,Heim,U,1.0,1.0,RB Leipzig,1.5,1.7,45.0,41.0,Marco Friedl,3-4-3,Tobias Reichel,Spielbericht,,11.0,1.0,151.0,1.0,0.0,0.0,2024,Werder Bremen
17,14.01.2024,15:30,Bundesliga,Spielwoche 17,So.,Auswärts,U,1.0,1.0,Bochum,0.8,0.7,51.0,26.0,Marco Friedl,3-4-3,Tobias Stieler,Spielbericht,,16.0,3.0,160.0,0.0,0.0,0.0,2024,Werder Bremen
18,21.01.2024,15:30,Bundesliga,Spielwoche 18,So.,Auswärts,S,1.0,0.0,Bayern München,0.4,1.9,32.0,75.0,Marco Friedl,3-5-2,Marco Fritz,Spielbericht,,8.0,3.0,173.0,0.0,0.0,0.0,2024,Werder Bremen
19,27.01.2024,15:30,Bundesliga,Spielwoche 19,Sa.,Heim,S,3.0,1.0,Freiburg,2.5,1.2,42.0,41.5,Marco Friedl,3-5-2,Robert Hartmann,Spielbericht,,13.0,2.0,204.0,0.0,1.0,1.0,2024,Werder Bremen
20,03.02.2024,15:30,Bundesliga,Spielwoche 20,Sa.,Auswärts,S,1.0,0.0,Mainz 05,0.6,0.8,41.0,31.8,Marco Friedl,3-5-2,Benjamin Brand,Spielbericht,,6.0,1.0,164.0,0.0,0.0,0.0,2024,Werder Bremen
